id,UserId,balance,createdAt,updatedAt
1,1,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
2,2,100,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
3,3,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
4,4,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
5,5,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
6,6,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
7,7,100,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
8,8,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
9,9,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
10,10,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
11,11,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
12,12,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
13,13,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
14,14,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
15,15,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
16,16,100,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
17,17,200,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
18,18,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
19,19,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
20,20,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
21,21,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
22,22,0,2026-03-09 08:48:38.557 +00:00,2026-03-09 08:48:38.557 +00:00
23,23,0,2026-03-09 09:56:21.281 +00:00,2026-03-09 09:56:21.281 +00:00
24,24,0,2026-03-09 09:56:33.010 +00:00,2026-03-09 09:56:33.010 +00:00
25,25,0,2026-03-09 09:56:33.021 +00:00,2026-03-09 09:56:33.021 +00:00
26,26,0,2026-03-09 09:56:34.906 +00:00,2026-03-09 09:56:34.906 +00:00

