id,UserId,AddressId,date,isPickup,quantity,createdAt,updatedAt
1,2,4,2270-01-17 00:00:00.000 +00:00,1,800,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
2,3,6,2006-01-14 00:00:00.000 +00:00,1,1320,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
3,4,1,2018-04-16 00:00:00.000 +00:00,1,120,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
4,1,3,2018-01-17 00:00:00.000 +00:00,1,300,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
5,4,1,2018-03-17 00:00:00.000 +00:00,1,350,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
6,3,6,2018-07-17 00:00:00.000 +00:00,1,200,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
7,4,1,2018-03-19 00:00:00.000 +00:00,1,140,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
8,1,3,2018-05-12 00:00:00.000 +00:00,1,150,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00
9,16,2,2019-02-18 00:00:00.000 +00:00,1,500,2026-03-09 08:48:38.525 +00:00,2026-03-09 08:48:38.525 +00:00

