id,key,name,tags,solved,category,createdAt,updatedAt,difficulty,description,disabledEnv,mitigationUrl,tutorialOrder,hasCodingChallenge,codingChallengeStatus
19,localXssChallenge,DOM XSS,"Tutorial,Good for Demos,With Coding Challenge",0,XSS,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,1,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/DOM_based_XSS_Prevention_Cheat_Sheet.html,2,1,0
20,dbSchemaChallenge,Database Schema,With Coding Challenge,0,Injection,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,3,Exfiltrate the entire DB schema definition via SQL Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,1,0
21,deprecatedInterfaceChallenge,Deprecated Interface,"Contraption,Prerequisite",0,Security Misconfiguration,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,2,Use a deprecated B2B interface that was not properly shut down.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Web_Service_Security_Cheat_Sheet.html,NULL,0,0
22,easterEggLevelOneChallenge,Easter Egg,"Shenanigans,Contraption,Good for Demos",0,Broken Access Control,2026-03-09 08:48:38.158 +00:00,2026-03-09 08:48:38.158 +00:00,4,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>.",NULL,NULL,NULL,0,0
23,emailLeakChallenge,Email Leak,NULL,0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,5,Perform an unwanted information disclosure by accessing data cross-domain.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/XS_Leaks_Cheat_Sheet.html,NULL,0,0
24,emptyUserRegistration,Empty User Registration,NULL,0,Improper Input Validation,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,2,Register a user with an empty email and password.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,NULL,0,0
25,ephemeralAccountantChallenge,Ephemeral Accountant,NULL,0,Injection,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,NULL,0,0
26,errorHandlingChallenge,Error Handling,Prerequisite,1,Security Misconfiguration,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:51:13.168 +00:00,1,Provoke an error that is neither very gracefully nor consistently handled.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Error_Handling_Cheat_Sheet.html,NULL,0,0
27,manipulateClockChallenge,Expired Coupon,NULL,0,Improper Input Validation,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,Successfully redeem an expired campaign coupon code.,NULL,NULL,NULL,0,0
28,extraLanguageChallenge,Extra Language,Brute Force,0,Broken Anti Automation,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,5,First you should find out how the languages are technically changed in the user interface.,NULL,NULL,NULL,0,0
29,feedbackChallenge,Five-Star Feedback,NULL,0,Broken Access Control,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,2,Get rid of all 5-star customer feedback.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0,0
30,forgedCouponChallenge,Forged Coupon,"Good for Demos,Code Analysis",0,Cryptographic Issues,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,6,Forge a coupon code that gives you a discount of at least 80%.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html,NULL,0,0
31,forgedFeedbackChallenge,Forged Feedback,Tutorial,0,Broken Access Control,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,3,Post some feedback in another user's name.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,11,0,0
32,forgedReviewChallenge,Forged Review,With Coding Challenge,0,Broken Access Control,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,3,Post a product review as another user or edit any user's existing review.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,1,0
33,jwtForgedChallenge,Forged Signed JWT,NULL,0,Vulnerable Components,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,6,Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/JSON_Web_Token_for_Java_Cheat_Sheet.html,NULL,0,0
34,forgottenDevBackupChallenge,Forgotten Developer Backup,"Contraption,Good for Demos,Prerequisite",0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,Access a developer's forgotten backup file.,NULL,NULL,NULL,0,0
35,forgottenBackupChallenge,Forgotten Sales Backup,Contraption,0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,Access a salesman's forgotten backup file.,NULL,NULL,NULL,0,0
36,typosquattingAngularChallenge,Frontend Typosquatting,NULL,0,Vulnerable Components,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,5,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> imposter that dug itself deep into the frontend. (Mention the exact name of the culprit)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0,0
37,ghostLoginChallenge,GDPR Data Erasure,NULL,0,Broken Authentication,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,3,Log in with Chris' erased user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/User_Privacy_Protection_Cheat_Sheet.html,NULL,0,0
38,dataExportChallenge,GDPR Data Theft,NULL,0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,Steal someone else's personal data without using Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/User_Privacy_Protection_Cheat_Sheet.html,NULL,0,0
39,httpHeaderXssChallenge,HTTP-Header XSS,Danger Zone,0,XSS,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0,0
40,continueCodeChallenge,Imaginary Challenge,"Shenanigans,Code Analysis",0,Cryptographic Issues,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,6,"Solve challenge #999. Unfortunately, this challenge does not exist.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html,NULL,0,0
41,dlpPasswordSprayingChallenge,Leaked Access Logs,OSINT,0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,5,Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to. (Creating a new account with the same password does not qualify as a solution.),NULL,https://cheatsheetseries.owasp.org/cheatsheets/Credential_Stuffing_Prevention_Cheat_Sheet.html,NULL,0,0
42,dlpPastebinDataLeakChallenge,Leaked Unsafe Product,"Shenanigans,OSINT",0,Sensitive Data Exposure,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,"Identify an unsafe product that was removed from the shop and <a href=""/#/contact"">inform the shop</a> which ingredients are dangerous.",NULL,NULL,NULL,0,0
43,typosquattingNpmChallenge,Legacy Typosquatting,NULL,0,Vulnerable Components,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:48:38.159 +00:00,4,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> trick it has been a victim of at least in <code>v6.2.0-SNAPSHOT</code>. (Mention the exact name of the culprit)",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerable_Dependency_Management_Cheat_Sheet.html,NULL,0,0
44,loginAdminChallenge,Login Admin,"Tutorial,Good for Demos,With Coding Challenge",1,Injection,2026-03-09 08:48:38.159 +00:00,2026-03-09 08:49:05.456 +00:00,2,Log in with the administrator's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,7,1,0
45,loginAmyChallenge,Login Amy,OSINT,0,Sensitive Data Exposure,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,"Log in with Amy's original user credentials. (This could take 93.83 billion trillion trillion centuries to brute force, but luckily she did not read the ""One Important Final Note"")",NULL,NULL,NULL,0,0
46,loginBenderChallenge,Login Bender,"Tutorial,With Coding Challenge",0,Injection,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,Log in with Bender's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,13,1,0
47,oauthUserPasswordChallenge,Login Bjoern,Code Analysis,0,Broken Authentication,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,"Log in with Bjoern's Gmail account <i>without</i> previously changing his password, applying SQL Injection, or hacking his Google account.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0,0
48,loginJimChallenge,Login Jim,"Tutorial,With Coding Challenge",0,Injection,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,Log in with Jim's user account.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,12,1,0
49,loginRapperChallenge,Login MC SafeSearch,"Shenanigans,OSINT",0,Sensitive Data Exposure,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,2,Log in with MC SafeSearch's original user credentials without applying SQL Injection or any other bypass.,NULL,NULL,NULL,0,0
50,loginSupportChallenge,Login Support Team,"Brute Force,Code Analysis",0,Security Misconfiguration,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,6,Log in with the support team's original user credentials without applying SQL Injection or any other bypass.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,NULL,0,0
51,basketManipulateChallenge,Manipulate Basket,NULL,0,Broken Access Control,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,Put an additional product into another user's shopping basket.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html,NULL,0,0
52,misplacedSignatureFileChallenge,Misplaced Signature File,"Good Practice,Contraption",0,Sensitive Data Exposure,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,"Access a misplaced <a href=""https://github.com/Neo23x0/sigma"">SIEM signature</a> file.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,NULL,0,0
53,timingAttackChallenge,Multiple Likes,NULL,0,Broken Anti Automation,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,6,Like any review at least three times as the same user.,NULL,NULL,NULL,0,0
54,easterEggLevelTwoChallenge,Nested Easter Egg,"Shenanigans,Good for Demos",0,Cryptographic Issues,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,Apply some advanced cryptanalysis to find <i>the real</i> easter egg.,NULL,NULL,NULL,0,0
55,noSqlCommandChallenge,NoSQL DoS,Danger Zone,0,Injection,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,Let the server sleep for some time. (It has done more than enough hard work for you) <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,NULL,0,0
56,noSqlOrdersChallenge,NoSQL Exfiltration,Danger Zone,0,Injection,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,5,All your orders are belong to us! Even the ones which don't. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Injection_Prevention_Cheat_Sheet.html,NULL,0,0
57,noSqlReviewsChallenge,NoSQL Manipulation,With Coding Challenge,0,Injection,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,Update multiple product reviews at the same time.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Injection_Prevention_Cheat_Sheet.html,NULL,1,0
58,redirectCryptoCurrencyChallenge,Outdated Allowlist,"Code Analysis,With Coding Challenge",0,Unvalidated Redirects,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,1,Let us redirect you to one of our crypto currency addresses which are not promoted any longer.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Unvalidated_Redirects_and_Forwards_Cheat_Sheet.html,NULL,1,0
59,weakPasswordChallenge,Password Strength,"Brute Force,Tutorial,With Coding Challenge",1,Broken Authentication,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:49:05.448 +00:00,2,Log in with the administrator's user credentials without previously changing them or applying SQL Injection.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,9,1,0
60,negativeOrderChallenge,Payback Time,NULL,0,Improper Input Validation,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,Place an order that makes you rich.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,NULL,0,0
61,premiumPaywallChallenge,Premium Paywall,Shenanigans,0,Cryptographic Issues,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,6,"<i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><!--IvLuRfBJYlmStf9XfL6ckJFngyd9LfV1JaaN/KRTPQPidTuJ7FR+D/nkWJUF+0xUF07CeCeqYfxq+OJVVa0gNbqgYkUNvn//UbE7e95C+6e+7GtdpqJ8mqm4WcPvUGIUxmGLTTAC2+G9UuFCD1DUjg==--> <a href=""https://blockchain.info/address/1AbKfgvw9psQ41NbLi8kufDQTezwG8DRZm"" target=""_blank""><i class=""fab fa-btc fa-sm""></i> Unlock Premium Challenge</a> to access exclusive content.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Key_Management_Cheat_Sheet.html,NULL,0,0
62,privacyPolicyChallenge,Privacy Policy,"Good Practice,Tutorial,Good for Demos",0,Miscellaneous,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,1,Read our privacy policy.,NULL,NULL,4,0,0
63,privacyPolicyProofChallenge,Privacy Policy Inspection,"Shenanigans,Good for Demos",0,Security through Obscurity,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,Prove that you actually read our privacy policy.,NULL,NULL,NULL,0,0
64,changeProductChallenge,Product Tampering,With Coding Challenge,0,Broken Access Control,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,3,"Change the <code>href</code> of the link within the <a href=""/#/search?q=OWASP SSL Advanced Forensic Tool (O-Saft)"">OWASP SSL Advanced Forensic Tool (O-Saft)</a> product description into <i>https://owasp.slack.com</i>.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/REST_Security_Cheat_Sheet.html,NULL,1,0
65,reflectedXssChallenge,Reflected XSS,"Tutorial,Danger Zone,Good for Demos",0,XSS,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,2,"Perform a <i>reflected</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,5,0,0
66,passwordRepeatChallenge,Repetitive Registration,NULL,1,Improper Input Validation,2026-03-09 08:48:38.160 +00:00,2026-03-09 09:56:20.737 +00:00,1,Follow the DRY principle while registering a user.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,NULL,0,0
67,resetPasswordBenderChallenge,Reset Bender's Password,"OSINT,With Coding Challenge",0,Broken Authentication,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,4,"Reset Bender's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,1,0
68,resetPasswordBjoernChallenge,Reset Bjoern's Password,"OSINT,With Coding Challenge",0,Broken Authentication,2026-03-09 08:48:38.160 +00:00,2026-03-09 08:48:38.160 +00:00,5,"Reset the password of Bjoern's internal account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,1,0
69,resetPasswordJimChallenge,Reset Jim's Password,"OSINT,With Coding Challenge",0,Broken Authentication,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,3,"Reset Jim's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Choosing_and_Using_Security_Questions_Cheat_Sheet.html,NULL,1,0
70,resetPasswordMortyChallenge,Reset Morty's Password,"OSINT,Brute Force,With Coding Challenge",0,Broken Anti Automation,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,"Reset Morty's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>his obfuscated answer</i> to his security question.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Forgot_Password_Cheat_Sheet.html,NULL,1,0
71,retrieveBlueprintChallenge,Retrieve Blueprint,NULL,0,Sensitive Data Exposure,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,Deprive the shop of earnings by downloading the blueprint for one of its products.,NULL,NULL,NULL,0,0
72,ssrfChallenge,SSRF,Code Analysis,0,Broken Access Control,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,6,Request a hidden resource on server through server.,NULL,https://cheatsheetseries.owasp.org/cheatsheets/Server_Side_Request_Forgery_Prevention_Cheat_Sheet.html,NULL,0,0
73,sstiChallenge,SSTi,"Contraption,Danger Zone,Code Analysis",0,Injection,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,6,Infect the server with juicy malware by abusing arbitrary command execution. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,NULL,NULL,0,0
74,scoreBoardChallenge,Score Board,"Tutorial,Code Analysis,With Coding Challenge",0,Miscellaneous,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,1,Find the carefully hidden 'Score Board' page.,NULL,NULL,1,1,0
75,securityPolicyChallenge,Security Policy,Good Practice,1,Miscellaneous,2026-03-09 08:48:38.161 +00:00,2026-03-09 10:05:39.032 +00:00,2,"Behave like any ""white-hat"" should before getting into the action.",NULL,https://cheatsheetseries.owasp.org/cheatsheets/Vulnerability_Disclosure_Cheat_Sheet.html,NULL,0,0
76,persistedXssFeedbackChallenge,Server-side XSS Protection,Danger Zone,0,XSS,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>server-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Docker,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,NULL,0,0
77,hiddenImageChallenge,Steganography,Shenanigans,0,Security through Obscurity,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,4,"<a href=""/#/contact"">Rat out</a> a notorious character hiding in plain sight in the shop. (Mention the exact name of the character)",NULL,NULL,NULL,0,0
78,rceOccupyChallenge,Successful RCE DoS,Danger Zone,0,Insecure Deserialization,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,6,Perform a Remote Code Execution that occupies the server for a while without using infinite loops. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Docker,https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html,NULL,0,0
79,supplyChainAttackChallenge,Supply Chain Attack,OSINT,0,Vulnerable Components,2026-03-09 08:48:38.161 +00:00,2026-03-09 08:48:38.161 +00:00,5,"<a href=""/#/contact"">Inform the development team</a> about a danger to some of <em>their</em> credentials. (Send them the URL of the <em>original report</em> or an assigned CVE or another identifier of this vulnerability)",NULL,NULL,NULL,0,0
